epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.046,1.68407,3.99874,1.59419,0.00278,0.80769,0.04657,0.03103,1.33669,3.94133,1.41918,0.00012861,0.00012861,0.00012861
2,50.9244,1.44988,3.20081,1.35344,0.00277,0.85348,0.14661,0.10248,1.23078,3.67929,1.22358,0.00025807,0.00025807,0.00025807
3,75.2482,1.49067,2.60965,1.39577,0.00424,0.8315,0.24775,0.18955,1.1715,3.48486,1.19696,0.000373383,0.000373383,0.000373383
4,100.307,1.44603,2.43013,1.3568,0.00474,0.90476,0.32788,0.20597,1.21789,3.35392,1.16712,0.000474549,0.000474549,0.000474549
5,125.341,1.3414,2.08241,1.24848,0.46583,0.32944,0.43036,0.26561,1.33782,3.13606,1.28312,0.000561568,0.000561568,0.000561568
6,159.482,1.41917,1.9764,1.27475,0.86508,0.17933,0.40047,0.26438,1.2736,3.05654,1.271,0.00063444,0.00063444,0.00063444
7,196.162,1.44844,2.08779,1.36889,0.73104,0.04762,0.3965,0.26933,1.25138,2.99241,1.44083,0.000693165,0.000693165,0.000693165
8,229.592,1.3694,2.00805,1.29569,0.88738,0.24801,0.61957,0.41489,1.27844,2.70274,1.30213,0.000737743,0.000737743,0.000737743
9,262.899,1.27566,1.81091,1.24834,0.85104,0.17261,0.54118,0.37202,1.31369,2.98331,1.35568,0.000768173,0.000768173,0.000768173
10,295.984,1.28485,1.83297,1.2466,0.77997,0.6328,0.71301,0.51922,1.23649,2.11688,1.28281,0.000784457,0.000784457,0.000784457
11,328.455,1.12994,1.80594,1.16086,0.83935,0.60047,0.717,0.49407,1.23922,2.06533,1.26257,0.000721645,0.000721645,0.000721645
12,360.657,1.14024,1.65067,1.19964,0.80222,0.70617,0.76014,0.5475,1.12392,1.92967,1.21032,0.000650909,0.000650909,0.000650909
13,392.854,1.06813,1.49727,1.17023,0.85913,0.74439,0.77944,0.57495,1.14398,1.71735,1.23365,0.000580174,0.000580174,0.000580174
14,426.375,1.0072,1.35361,1.13774,0.95652,0.78022,0.82482,0.60723,1.12055,1.48742,1.1734,0.000509438,0.000509438,0.000509438
15,459.939,1.00646,1.32885,1.12448,0.9039,0.71392,0.83023,0.58632,1.15603,1.54198,1.19293,0.000438703,0.000438703,0.000438703
16,494.91,0.99408,1.33252,1.12962,0.89016,0.77288,0.83458,0.5915,1.08917,1.49084,1.16556,0.000367967,0.000367967,0.000367967
17,529.688,0.99015,1.2384,1.1073,0.85986,0.77331,0.83756,0.61096,1.05381,1.39975,1.14004,0.000297232,0.000297232,0.000297232
18,565.438,0.95991,1.15221,1.054,0.87243,0.75207,0.86459,0.60688,1.09845,1.3269,1.15709,0.000226497,0.000226497,0.000226497
19,600.01,0.88861,1.1042,1.06447,0.81625,0.80791,0.87984,0.61784,1.0951,1.27549,1.1561,0.000155761,0.000155761,0.000155761
20,628.662,0.91118,1.09255,1.03312,0.84383,0.83755,0.88676,0.64323,1.09485,1.23188,1.1662,8.50255e-05,8.50255e-05,8.50255e-05
